file,line,fn_or_scope,field_name,classification,rationale,phase_b_action
ML_Headers/CfgDriftCheckRegistry.hpp,275,FOREACH_DRIFT_CHECK X-macro row fee_rate_maker,h->fee_rate_maker vs cfg.fee_rate_maker,DRIFT_CHECK_X_MACRO,X-macro drift check row comparing handle vs cfg; comparing at training-time-frozen value vs runtime cfg; correct intent (drift check semantics need to know if cfg changed since training),NO-OP
ML_Headers/CfgDriftCheckRegistry.hpp,279,FOREACH_DRIFT_CHECK X-macro row fee_rate_taker,h->fee_rate_taker vs cfg.fee_rate_taker,DRIFT_CHECK_X_MACRO,Sister to 275,NO-OP
CoreFrameworks/Order.hpp,358,Order_BindPreResolved decision-time binding,o->pre_resolved.fee_rate = is_maker ? core_cfg.fee_rate_maker : core_cfg.fee_rate_taker,DECISION_TIME_BINDING_CORRECT,Decision-time data binding per Class 27 closure pattern; pre-resolves per-core fee_rate onto Order at submit; downstream consumers read from order; CORRECT shape,NO-OP
CoreFrameworks/Order.hpp,359,sister,o->pre_resolved.fee_rate_maker,DECISION_TIME_BINDING_CORRECT,Sister to 358,NO-OP
CoreFrameworks/Order.hpp,361,sister,o->pre_resolved.slippage_pct = core_cfg.slippage_pct,DECISION_TIME_BINDING_CORRECT,Sister to 358 for slippage_pct,NO-OP

# Summary:
# 9 REAL CLASS 26 UNINDEXED-GLOBAL findings (HIGH-1+2+3+4 + MED-1 + audit fallback rows) — FIX in Phase B
# 3 DISPLAY KEEP-AS-GLOBAL (ShardedSnapshot.hpp 139/330/331) — ADD inline comments
# 1 NEW PHASE-A-1 LOW dead helper Fee_Compute (ControllerConfig.hpp:1337-1340) — FOLD into LOW cohort; NEW TECH_DEBT-139 NEW
# 1 DEAD_STATE LOW-1 (DrainerConstants.hpp dead field) — DELETE per B14 ordering
# 5 LEGACY-EXEMPT (EmaCross.hpp:143-144 + RegimeDetector.hpp:760/789/808) — NO-OP; Section D exemption
# 6 BOOT_TIME/PARSE_TIME/DRIFT_CHECK (ControllerConfig.hpp defaults/parser/normalize + CfgDriftCheckRegistry) — NO-OP
# 3 DECISION_TIME_BINDING (Order.hpp 358/359/361) — NO-OP (correct shape; Class 27 closure)
#
# Phase A scope-lock recommendation:
# - ALL 4 HIGH + 1 MED + 1 LOW from audit confirmed; Phase B applies these fixes per plan body
# - NEW finding PHASE-A-1: Fee_Compute() dead helper — recommend FOLD into LOW cohort (TECH_DEBT-139 NEW OPEN+CLOSE same ship; sister to TECH_DEBT-132 from .B.7)
# - 3 DISPLAY KEEP-AS-GLOBAL sites get inline comments per plan Phase B Step B.5
# - 5 LEGACY-EXEMPT sites stay as-is per audit Cat 8 LEGACY-KEEP verdict; Section D exemption documentation
# - NO additional Class 26 instances beyond audit findings — Phase A confirms scope correctly bounded
# - MeanReversion Strategy_WriteRatchetSL actual call site verified at MeanReversion.hpp:613 (plan cites :561 forward-decl; actual is :613)
