start_line,end_line,line_count,domain,section_name
3161,3233,72,engine_oms,"EXIT BUFFER EQUITY GAP"
3234,3300,66,engine_position,"WIN/LOSS BY P&L SIGN"
3301,3368,67,features,"FEE FLOOR AFTER REGIME TIGHTENING"
3369,3450,81,engine_position,"SLOT REUSE REGRESSION"
3451,3495,44,ml_training,"Phase 5d: Dynamic-buffer lifecycle"
3496,3520,24,ml_training,"Phase 5d: Label-type-aware metric dispatch"
3521,3566,45,ml_training,"Phase 5d: Class-balance helpers"
3567,3598,31,ml_training,"Phase 5d: Config validation"
3599,3652,53,ml_training,"Phase 5d: Reason-table coverage"
3653,3665,12,engine_oms,"Phase 8b: Notify lifecycle"
3666,3686,20,engine_oms,"Phase 8b: Send + dispatch"
3687,3724,37,engine_oms,"Phase 8b: Cooldown gate"
3725,3748,23,engine_oms,"Phase 8b: Queue full handling"
3749,3773,24,engine_oms,"Phase 8b: Shutdown drains queue"
3774,3794,20,engine_oms,"Phase 8b: Shell escape"
3795,3825,30,engine_oms,"Phase 8b: Build command template substitution"
3826,3867,41,ml_training,"Phase 6prep: RollingIC math"
3868,3914,46,ml_training,"Phase 6prep: ConfidenceScorer composition"
3915,3991,76,ml_state,"v5.14.1.B.2.C: composite replay-determinism (PARITY-001)"
3992,4050,58,ml_training,"v5.15.5.E.D: RollingRMSE running-sum vs walked-sum parity"
4051,4268,217,stamps,"v5.14.1.B.3.E: FOREACH_STAMP_BOUND_CFG X-macro registry"
4269,4387,118,ml_state,"v5.14.1.C: composite formula + edge cases + cfg parser"
4388,4437,49,ml_state,"v5.14.1.C: cfg parser for composite cfg fields"
4438,4618,180,ml_training,"v5.14.1.D: FeatureStandardizer winsorization"
4619,4683,64,ml_training,"v5.14.1.F: IC variant registry"
4684,4814,130,engine_position,"v5.14.1.G: portfolio turnover"
4815,4881,66,ml_inference,"v5.14.1.E.E.B: INFERENCE_CFG_POPULATE_FROM_DERIVED (cohort framework)"
4882,4992,110,ml_inference,"v5.14.1.E: exit-side Ridge blending"
4993,5022,29,ml_training,"Phase 6prep: Gate effective threshold"
5023,5050,27,ml_training,"Phase 7prep: HeldOutSplit math"
5051,5079,28,ml_training,"Phase 7prep: Lock-token discipline"
5080,5132,52,ml_training,"Phase 7prep: RunFullValidation framework"
5133,5173,40,ml_training,"Phase 7prep: Cfg backward compat"
5174,5194,20,engine_oms,"Phase 8: Fee_Compute helper"
5195,5229,34,engine_oms,"Phase 8: Legacy fee_rate backward compat"
5230,5250,20,engine_oms,"Phase 8: ORDER_PARTIAL state"
5251,5298,47,engine_oms,"Phase 8: executionReport parser"
5299,5337,38,engine_oms,"Phase 8: Maker/taker accounting invariant"
5338,5360,22,engine_oms,"Phase 8: TUISnapshot maker/taker fields"
5361,5403,42,ml_training,"Phase 6prep: Cfg backward compat"
5404,5506,102,engine_position,"Phase 2.1: core_open_notional symmetry"
5507,5624,117,engine_oms,"Phase 2.2: budget enforcement"
5625,5820,195,engine_oms,"Phase 3: per-core kill switch"
5821,6181,360,engine_boot,"Phase 4: sharded snapshot persistence"
6182,6271,89,engine_oms,"v4.2.1: slippage_pct (paper-mode only)"
6272,6345,73,engine_oms,"v4.2.1: idle_cycles"
6346,6386,40,features,"v4.3: CumDelta round-trip"
6387,6417,30,features,"v4.3: TickRate baseline + z-score"
6418,6458,40,features,"v4.3: hour cyclical encoding"
6459,6496,37,features,"v4.3: vol_regime cold start"
6497,6565,68,engine_boot,"Track E.1: slow-path hook fires on cadence"
6566,6639,73,engine_boot,"Track E.1: hook receives tick + cadence-fresh state"
6640,6672,32,ml_inference,"Track E.2: CoreModelZoo Free-before-Init safety"
6673,6744,71,engine_oms,"Track E.2: per-core strategy + risk wiring"
6745,6815,70,engine_oms,"Track E.2: warmup permission grant skips STRATEGY_NONE"
6816,6918,102,engine_oms,"Track E.3: DepthReplayState load + advance"
6919,6940,21,engine_oms,"Track E.3: DepthReplayState missing file degrades silently"
6941,6979,38,engine_oms,"Track E.3: tt::GATE_FLAG_BUY_BLOCKED vetoes BG_Evaluate"
6980,7077,97,features,"Track E.3: RebuildAllParameters book_imbalance gate"
7078,7121,43,features,"Wave 1 D.1: BookImbalanceHistory init / push / means"
7122,7160,38,features,"v5.15.5.D.B: BookImbHistory MeanShortFast bytewise parity"
7161,7194,33,features,"Wave 1 D.2: FlowState EWMA decay + accumulation"
7195,7238,43,features,"Wave 1 D.4: LargeTradeState push + z-score"
7239,7273,34,features,"Wave 2 D.3: SpreadState push + z-score + eviction"
7274,7316,42,features,"Wave 2 D.3: spread_bps formula in Regime_ComputeSignals"
7317,7346,29,features,"Partial Exits P.1: Sharded_LegSlot mapping"
7347,7398,51,features,"Partial Exits P.1: Sharded_ValidatePartialExitCfg"
7399,7566,167,features,"Partial Exits P.2: hot-path dual-leg SG"
7567,7634,67,features,"Partial Exits P.4: Strategy_BuildParameters wiring"
7635,7857,222,engine_oms,"Mode 1 — partials accounting (FillRecord + DrainPostFill)"
7858,8081,223,engine_oms,"v4.7.16 — backtest/live parity (driver wires DrainPostFill)"
8082,8204,122,engine_oms,"v4.7.19 — counter/CSV atomicity + double-close guard"
8205,8361,156,features,"v4.7.21 — W/L pairing under partial exits"
8362,8442,80,engine_oms,"v4.7.21 — backtest parity: pairing through ShardedBacktest_RunTick"
8443,8521,78,engine_oms,"v4.7.37 — OMS Submit funneling via SPSC queue (Phase B)"
8522,8610,88,engine_boot,"v5.0.4 — OneCore wrapper identity (Phase B/F parity)"
8611,8670,59,engine_oms,"v5.0.4 — Single-core update isolation"
8671,8718,47,engine_oms,"v5.0.4 — Submit queue full handling"
8719,8778,59,engine_boot,"v5.0.4 — Topology field stability"
8779,8868,89,engine_oms,"v5.1.10 — runtime BUY_BLOCKED fee-floor gate"
8869,8988,119,ml_training,"v5.2.0 — held-out gate: verify_model_stamp"
8989,9128,139,engine_boot,"v5.2.1 — live reconciliation: parsing + decisions"
9129,9214,85,stamps,"v5.3.0 Phase B: in-process HMAC primitive"
9215,9386,171,stamps,"v5.3.0 Phase B: stamp round-trip + bash-compat"
9387,9447,60,ml_training,"v5.3.0 Phase A: HeldOutSplit_TrainEval wiring"
9448,9576,128,stamps,"v5.3.2 Phase C: auto-stamp + run history"
9577,9646,69,misc,"v5.4.0 Phase 0.1: health_log cfg parsing"
9647,9773,126,engine_boot,"v5.4.0 Phase 1: strategy state allocation + dispatcher"
9774,9861,87,features,"v5.4.0 Phase 2.1: SimpleDip state-aware BuildParameters"
9862,9997,135,engine_oms,"v5.4.0 Phase 2.2: MeanReversion state-aware BuildParameters + ratchet"
9998,10076,78,features,"v5.4.0 Phase 2.3: Momentum state-aware BuildParameters + ratchet"
10077,10168,91,features,"v5.4.0 Phase 2.4: EmaCross state-aware BuildParameters + crossover"
10169,10260,91,ml_training,"v5.4.0 Phase 2.5: ML Adapt + ExitAdjust dispatch"
10261,10327,66,engine_oms,"v5.4.0 Phase 3.3: ratchet_tp channel"
10328,10372,44,ml_inference,"v5.5.0 Class 8: CostModel + VolScaler integration"
10373,10456,83,engine_oms,"v5.4.1 Bug B2: OMS_DrainSubmit walks all queues under partials"
10457,10483,26,engine_oms,"v5.6.0: predicate↔display constant parity"
10484,10506,22,engine_oms,"v5.6.1: PerCoreSnap predicate fields"
10507,10564,57,engine_oms,"v5.6.2: SHALT codes + dispatcher fee-floor wiring"
10565,10576,11,engine_boot,"v5.7.2: hardcoded-strategy boot guard cfg"
10577,10608,31,engine_oms,"v5.6.3: gate diagnostic field plumbing"
10609,10671,62,engine_boot,"EXTENSIBILITY: v5.8.0 strategy X-macro registry"
10672,10919,247,features,"EXTENSIBILITY: v5.8.1b feature X-macro registry (full 34-feature set)"
10920,10976,56,engine_oms,"EXTENSIBILITY: v5.8.2 SHALT codes X-macro registry"
10977,11039,62,engine_oms,"EXTENSIBILITY: v5.8.3 HALT_REASON X-macro registry"
11040,11131,91,features,"EXTENSIBILITY: v5.8.4 Regime X-macro registry"
11132,11227,95,ml_training,"EXTENSIBILITY: v5.8.4c metric registry + Compute_* helpers"
11228,11325,97,stamps,"EXTENSIBILITY: v5.8.6 stamp engine_version + registry hash drift catch"
11326,11455,129,stamps,"EXTENSIBILITY: v5.9.0 NaN/Inf guards + WF purge post-check + stamp_format_version"
11456,11549,93,ml_training,"EXTENSIBILITY: v5.9.0b ML observability infrastructure"
11550,11628,78,engine_boot,"EXTENSIBILITY: v5.9.0c cfg explicit-set tracking + cfg-source visibility"
11629,11712,83,engine_oms,"EXTENSIBILITY: v5.9.1 Phase 2 — edge cases + observability polish"
11713,11890,177,ml_training,"EXTENSIBILITY: v5.9.2 Phase 3 — train-serve parity regression test"
11891,12002,111,ml_inference,"EXTENSIBILITY: v5.8.10 CoreModelZoo strict-mode integration (drift refusal)"
12003,12120,117,misc,"EXTENSIBILITY: v5.9.2c Phase 3.7 — runtime parity polish"
12121,12356,235,ml_inference,"EXTENSIBILITY: v5.9.2a Phase 3.5 — drift protection snapshot tests"
12357,12513,156,ml_inference,"EXTENSIBILITY: v5.9.2b Phase 3.6 — stamp-bound inference cfg + cross-major + tau range"
12514,12721,207,ml_training,"EXTENSIBILITY: v5.9.3a Phase 4 — feature standardizer (disabled)"
12722,12900,178,ml_inference,"EXTENSIBILITY: v5.9.3b Phase 4 — scaler apply + training integration"
12901,13021,120,engine_oms,"EXTENSIBILITY: v5.9.4 Phase 5 — recipes + health rotation + cross-binary"
13022,13152,130,ml_inference,"EXTENSIBILITY: v5.9.4a Phase 5.5 — multiclass UX + closure polish"
13153,13327,174,stamps,"EXTENSIBILITY: v5.9.5b — in-process stamp emit populates StampInferenceCfgInputs"
13328,13455,127,ml_inference,"EXTENSIBILITY: v5.9.5h — XGBoost hyperparam ownership"
13456,13498,42,ml_inference,"EXTENSIBILITY: v5.9.5i — inference cfg load-time enforcement + drift counters"
13499,13588,89,ml_state,"EXTENSIBILITY: v5.10.0a.G.7 — Per-regime BanditState + weighted blend"
13589,13756,167,ml_inference,"EXTENSIBILITY: v5.10.0a.G.8 — Dual-source reward wiring + drift watchdog"
13757,13895,138,ml_state,"EXTENSIBILITY: v5.10.0a.G.9 — Bandit state JSON persistence"
13896,14011,115,ml_state,"EXTENSIBILITY: v5.10.0a.next.1 — Backtest bandit_state_prior_path"
14012,14164,152,ml_state,"EXTENSIBILITY: v5.10.0a.next.2 — Bandit replay-determinism"
14165,14236,71,misc,"EXTENSIBILITY: v5.10.0b.1 — FPN_FromInt pure-integer constructor"
14237,14291,54,misc,"EXTENSIBILITY: v5.10.0b.2.5.A — FPN-native Newton-Raphson sqrt"
14292,14365,73,misc,"EXTENSIBILITY: v5.10.0b.2.5.B — FPN-native Taylor exp"
14366,14441,75,misc,"EXTENSIBILITY: v5.10.0b.2.5.D — FPN-native Taylor sin/cos"
14442,14530,88,misc,"EXTENSIBILITY: v5.10.0b.2.5.C — FlowFeatures internal FPN math"
14531,14579,48,features,"EXTENSIBILITY: v5.10.0b.2 — RegimeDetector hour_sin/cos via FPN_Sin/Cos"
14580,14673,93,ml_inference,"EXTENSIBILITY: v5.10.0e — runtime IC drift detection"
14674,14799,125,ml_training,"EXTENSIBILITY: v5.10.0d — FOREACH_TARGET label registry + LABEL_REGISTRY_HASH"
14800,14862,62,misc,"EXTENSIBILITY: v5.11.2.A — Reciprocal LUT for 1/n"
14863,14915,52,features,"EXTENSIBILITY: v5.11.2.B — RollingStats cache-line layout"
14916,15077,161,features,"EXTENSIBILITY: v5.11.2.C — O(1) running sums + monotonic deque"
15078,15159,81,misc,"EXTENSIBILITY: v5.11.3.B — TUISnapshot seqlock tear-free read"
15160,15243,83,misc,"EXTENSIBILITY: v5.11.4.A — std::from_chars-based fast parsing"
15244,15368,124,ml_state,"EXTENSIBILITY: v5.11.7 — Bandit AVX-512 bytewise parity"
15369,15442,73,misc,"EXTENSIBILITY: v5.11.6.A — InitArena unified mmap allocator"
15443,15506,63,misc,"EXTENSIBILITY: v5.11.5.C — mmap pre-alloc OrderEventLog"
15507,15600,93,misc,"EXTENSIBILITY: v5.11.5.B — clientOrderId slot encoding (O(1) lookup)"
15601,15721,120,engine_oms,"EXTENSIBILITY: v5.11.3.C — Async log thread (drainer I/O isolation)"
15722,15876,154,engine_oms,"EXTENSIBILITY: v5.11.1.2 — Branchless leg-B via PAIR_BRANCHLESS template"
15877,15951,74,misc,"EXTENSIBILITY: v5.11.1.1 — Template-bool elision of lat_enabled"
15952,15986,34,misc,"EXTENSIBILITY: v5.11.0.B — RLIMIT_MEMLOCK preflight"
15987,16013,26,misc,"EXTENSIBILITY: v5.11.0.A — FTZ/DAZ MXCSR state"
16014,16175,161,ml_inference,"EXTENSIBILITY: v5.10.1.B — Ensemble grid_member_count consistency validator"
16176,16247,71,ml_training,"EXTENSIBILITY: v5.10.1.A — LABEL_REGISTRY_HASH production-caller plumb-through"
16248,16317,69,misc,"EXTENSIBILITY: v5.10.0b.3 — FP64_DivNoAssert pure-integer 192/128 long division"
16318,16410,92,ml_inference,"EXTENSIBILITY: v5.10.0a.G.6 — Per-core ensemble cfg fields"
16411,16485,74,ml_inference,"EXTENSIBILITY: v5.10.0a.G.5 — EnsembleModelZoo lifecycle + AutoDetectFromDir"
16486,16542,56,ml_inference,"EXTENSIBILITY: v5.10.0a.G.4 — Ensemble inference path"
16543,16598,55,ml_inference,"EXTENSIBILITY: v5.10.0a.G.3 — EnsembleModelZoo sidecar"
16599,16634,35,stamps,"EXTENSIBILITY: v5.10.0a.G.2 — Stamp body grid_member_count (position 19)"
16635,16684,49,engine_oms,"EXTENSIBILITY: v5.10.0a.D — Backtest_RunHyperparamTrainSweep + WF override"
16685,16731,46,misc,"EXTENSIBILITY: v5.10.0 Item D — hardware-aware cfg"
16732,16896,164,ml_training,"EXTENSIBILITY: v5.10.0 Item B — streaming label compute (sliding 2-file window)"
16897,16952,55,engine_oms,"EXTENSIBILITY: v5.10.0 Item A — per-phase backtest timers"
16953,17037,84,engine_oms,"v5.11.15: Strategy_FreePerCore AUTO/NONE root-cause regression"
17038,17098,60,misc,"v5.11.22: InitArena MAP_HUGETLB opt-in cfg + fallback"
17099,17144,45,engine_oms,"v5.11.19: FPN_FromString + FPN_ToDouble vs parse_double_fast"
17145,17296,151,stamps,"v5.11.18a: feature_mask cfg + stamp infrastructure"
17297,17379,82,ml_inference,"v5.11.40: per-horizon TP/SL CSV parser (broadcast or match)"
17380,17435,55,engine_oms,"v5.11.53: Backtest_RunFullValidation preserves request fields across memset"
17436,17457,21,ml_inference,"v5.11.42 D.1: ModelHandle.xgb_train_nthread propagation"
17458,17482,24,ml_training,"v5.11.42 D.2: ModelHandle.label_lookahead_ticks propagation"
17483,17506,23,ml_inference,"v5.11.42 D.3: ModelHandle.scaler_sha256 propagation"
17507,17527,20,ml_inference,"v5.11.41.C: multi_horizon_max_threads cfg + auto-default"
17528,17702,174,stamps,"v5.11.41.0: stamp body schema closure (label params + xgb_train_nthread)"
17703,17834,131,features,"v5.11.18 main: Features_PackAll mask-aware overload"
17835,17877,42,ml_inference,"v5.11.14: scaler comparison diff math + flag threshold"
17878,17946,68,engine_oms,"v5.11.13: BuddyAllocator typo fix + O(1) order lookup"
17947,18001,54,ml_inference,"v5.12.3.B+E: mixed-output normalizer + Predict_AtClass helper"
18002,18041,39,engine_oms,"v5.12.3.C: per-core time-exit override"
18042,18109,67,ml_state,"v5.12.3.A: composite-signal extractor on ModelHandle"
18110,18143,33,ml_inference,"v5.12.2.D: Treelite AOT infrastructure (stubs)"
18144,18191,47,engine_oms,"v5.12.2.B: lazy slow-path rebuild"
18192,18265,73,ml_state,"v5.12.1.D: confidence-conditional sizing infra (REPLACED v5.14.9.B; lambda kept as historical reference)"
18266,18337,71,engine_oms,"v5.12.1.B.3: hot-path staleness gate (branchless mask)"
18338,18406,68,engine_oms,"v5.12.1.B.1: ParameterSlot publish_tick paired field"
18407,18499,92,engine_oms,"v5.12.1.A.3: recovery refusal + flatten_pending auto-clear"
18500,18624,124,engine_oms,"v5.12.1.A.2: WS-staleness gate + EventLoop_FlattenAll"
18625,18673,48,engine_oms,"v5.12.1.A.1: last_ws_tick_us field on EventLoopState"
18674,18697,23,ml_training,"v5.13.0: sell-side ML cfg + per-slot tracking + calibration"
18698,18738,40,engine_oms,"v5.13.0.B: OMS per-slot exit-predictor tracking"
18739,18786,47,engine_oms,"v5.13.0.B: OrderManager_OpenCalibrationLog"
18787,18823,36,ml_inference,"v5.13.0.B: CoreContext sell-side prediction fields"
18824,18860,36,engine_boot,"v5.13.0.B: cfg parser — exit-side fields"
18861,18889,28,ml_state,"v5.13.4: sell-side bandit defaults + per-slot capture"
18890,18946,56,ml_state,"v5.13.4: EnsembleModelZoo exit-side bandit init"
18947,18984,37,ml_state,"v5.13.4: per-slot exit-bandit arm + regime capture"
18985,19019,34,ml_training,"v5.13.4.B: counterfactual reward math sanity"
19020,19073,53,ml_state,"v5.13.4.C: exit_bandit_state.json save+load round-trip"
19074,19096,22,misc,"v5.13.4.C: missing file → graceful skip"
19097,19159,62,ml_training,"v5.13.5: per-horizon label_kind snap logic"
19160,19186,26,ml_training,"v5.13.5: side selector path routing logic"
19187,19221,34,ml_training,"v5.13.5: alignment check for label_kind CSV"
19222,19244,22,ml_inference,"v5.14.0.A: RidgeWeights_Init + zero-state"
19245,19266,21,ml_training,"v5.14.0.A: Cholesky_Solve on synthetic 2x2"
19267,19282,15,ml_training,"v5.14.0.A: Cholesky_Solve on singular matrix"
19283,19301,18,ml_training,"v5.14.0.A: Cholesky_Solve singular Σ + ridge regularization"
19302,19332,30,ml_inference,"v5.14.0.A: RidgeBlender_Compute end-to-end"
19333,19366,33,misc,"v5.14.0.A: Compute fallback on extreme correlation"
19367,19383,16,ml_training,"v5.14.0.A: cost_penalty reduces fee-heavy model weight"
19384,19418,34,ml_training,"v5.14.0.A: BuildCorr on independent uniform-noise predictions"
19419,19439,20,ml_training,"v5.14.0.A: BuildCorr identity-row guard for constant predictions"
19440,19449,9,ml_training,"v5.14.0.A: BuildCorr sparse history (n_history < 2)"
19450,19462,12,ml_inference,"v5.14.0.A: EnsembleModelZoo zero-init includes ridge_state"
19463,19512,49,ml_inference,"v5.14.0.C: Ridge cfg fields defaults + parser"
19513,19581,68,features,"v5.14.5.B.0: regime classification universalization"
19582,19657,75,misc,"v5.14.5.A: cross-sectional target plumbing"
19658,19814,156,features,"v5.14.5.B: regime-conditional features"
19815,19937,122,misc,"v5.14.5.C: fractional differentiation features"
19938,20055,117,misc,"v5.14.4.B.2: AutoCancelStale helper"
20056,20148,92,misc,"v5.14.4.B.1: ApplyMissedFills helper"
20149,20253,104,misc,"v5.14.4.A: reconcile mode X-macro"
20254,20297,43,misc,"v5.14.4.0: cancel API + last_seen_trade_id"
20298,20548,250,misc,"v5.14.3.C: overlay sidecar verify"
20549,20648,99,stamps,"v5.14.2.E.2.B: model-architectural stamp body fields"
20649,20806,157,misc,"v5.14.2.E.1: PostLoadSetup registries + helpers"
20807,22943,2136,ml_inference,"v5.14.2: ensemble hot-swap helper"
22944,23240,296,ml_state,"v5.14.10.A: Bayesian Thompson sampling bandit"
23241,23457,216,engine_oms,"v5.14.10.B: cfg fields + dispatch + slow-path-gate predicates + stamp-binds"
23458,23612,154,ml_state,"v5.14.10.C: thompson_state.json persistence + tt::json_io + FOREACH_ENSEMBLE_POST_LOAD"
23613,23771,158,ml_state,"v5.14.10.D: PerCoreSnap Thompson display + FOREACH_CALIB_LOG_COL registry"
23772,24009,237,ml_state,"v5.15.5.F.4d Step 9: Bandit 5-state + dispatch tables + Class 24 closure + Pattern 4"
24010,24130,120,stamps,"v5.14.10.F: ShardedTradeLog FOREACH_TRADE_LOG_COL refactor (byte preservation)"
24131,24383,252,ml_training,"v5.14.11.A: sliding-window Welford + BuildCorr refactor + helpers"
24384,24424,40,stamps,"v5.14.11.B.2: FPN + ThompsonBanditState padding determinism"
24425,24549,124,stamps,"v5.14.11.B.3: UpdateOnline + BuildCorr AVX-512 SHA-256 byte-determinism"
24550,24702,152,ml_inference,"v5.15.0: ModelHandle X-macro migration + parser refactor anchors"
24703,24903,200,ml_inference,"v5.15.1: Model Health drift + TECH_DEBT-028 bitmap anchors"
24904,25008,104,engine_boot,"v5.15.2: Live-readiness boot gate + trading_mode + breakeven anchors"
25009,25202,193,stamps,"v5.15.3: Stamp_AssembleAndEmit canonical helper"
25203,26156,953,ml_inference,"v5.15.4: Live-mode normalize + alignas zoos + shadow-load helpers"
26157,26259,102,misc,"v5.15.5.F.4d.1.B.2 Step 9: cohort migration correctness"
